x,y
635386.4, 441193.7
637241.1,440791.8
636842.9,440711.2
667965.4,472095.2
656963.4,465584.7
659605.7,469102.1
659522.7,471453.8
659220,470256
659251.8,471140.9
659441.9,471273.9
659092,471412.1
660315.9,471421.3
652459.9,457949.3
652535.2,459321.2
653810.6,461908.5
653170.1,456685.5
652093.4,457219.8
653944.6,458477.2
653824.1,458892.9
648209.2,460368.8
651378.1,459156.8
651373.8,459225
652742.5,457863.2
650734.9,458389.5
647622.9,451193.3
648259.3,453846.5
649657.9,454206.5
659446.7,455535.4
651685.1,455654.5
651187.2,456240.9
651983.1,456550.5
653458.7,456647
651972.7,456682.3
651830.3,456752.5
659574.3,456879.8
651505,457191.8
651838.4,457217.7
652806.3,457318.2
653726.9,457590.1
650824.3,457941.9
651371.1,457959.7
657103.6,458062.5
653430.7,458506.1
653199.1,458612.1
651085.8,458633.4
653108.2,458886.4
653905.7,458887.8
651550,458910.2
651121.9,459152.6
651679.6,459218.6
650871.4,459885.4
649650.2,460236.6
652572.7,456882.8
655602,454035.3
651057.2,457146.6
651228.7,459162
651534.9,459479
644647.6,451089.6
654254.6,456833.5
651289.4,457184.9
651324.5,457649.6
650999.9,457947.3
651422.7,457988.2
660582.6,471519.6
647190.6,448741.4
649940.4,453133.5
654421.3,457533
656071.7,457714.5
654001,458470
645690.6,451048.7
653002.5,455762.2
653642,457115.3
657003.7,457817.5
654340.2,458287.9
654493.2,458422.1
653332.2,459215.8
651130.8,456278
657045.5,457814
653159.9,458571.1
658716.9,470588.7
658904.2,471036.2
661298.1,456061.7
650906.6,459583.4
651233.5,459817.3
636593.9,441024.7
651491.7,459260.3
652313.2,456132.4
656454.8,456645.2
654624.5,457890.9
636904.5,440949.7
637423.3,442213.1
637582.9,439838.4
637992.3,441267.1
637073.3,441284.9
636389.3,443042.6
653481.5,456646.9
659272.6,471503
651093.3,456236.9
651182.2,456612.6
651578.1,457668.2
651563,458159.2
653348.8,458499.1
651283,459068.1
654431.4,455001.3
652069.2,458405.9
652342.8,458224.7
650904.5,453149.3
648500.6,454455.2
652133.5,457138.1
653369.3,457356.8
651114.6,457601.9
652652,457889.1
651537.1,459482.5
647362.1,448708.6
647586,450195.4
647693.7,450834.4
652691.4,455454.7
651767.4,455466.3
652205.6,455519.3
652585.8,455665.9
652437.7,455941.2
653238.8,456064
661380,456256.3
654446.6,456255.4
651844.8,456280.8
653637.6,456317.2
656245.8,456589.2
654178.6,456764.9
651609.2,456777.5
651603.8,456979.7
652730.1,456997.5
651710.7,457010
656944.6,457483.7
654118.3,457681.1
650172.4,457800.3
651771.1,457953.9
654240.8,458220.4
654875.9,458484.5
657167.2,458519.9
653427.3,458625.2
654502.2,458679.2
652368.9,458706
652224.4,458764.1
652242.6,459072.2
651467.8,459118
651556.2,459237.6
655161.3,459244.8
653609.5,459330.2
652002.5,459454.2
653916.5,460854.6
659441.5,455659.6
654350.2,458425.4
651378,459084.8
654259.9,454992.6
661860.6,455897.2
651757.2,456834.5
651280,456942.6
657164.5,457463.4
656812.7,457548.8
651390.3,457666.9
651064.3,457796.4
651512.6,458325.3
650869,458603.6
652270.5,458745.1
650376.1,460004.8
654126.5,458681.9
651156.4,456254.4
652839.7,455092.3
655515.8,455389.3
652428.2,455635.4
651898.5,455987.5
653730.3,456188.4
652410,456912.3
651195.3,459185
652183.6,458740.8
651610,455772.3
651139.6,456372.8
653328.6,461939.7
650869,458922
651591.8,457970.8
651151,458062.3
636438.8,442164.3
659455.8,471084.2
659520.8,471332
659274.4,471405
653944.7,457027.1
657703,457489.3
668165.8,472023.6
659998.2,471918.4
635409.6,440924.1
637344,440687.6
652233.1,459072.2
653773.3,459099.3
649618,456506.5
649560.3,456818.7
651423.1,458764.4
651298.7,458724.2
635880.5,440608.8
637606,441377
668348.2,472271.9
667581.7,472279.2
652631.6,457000
648293.7,451425.8
650027.7,453851.8
661077.9,456744.4
653949.1,456993.9
651697,457884
651176.1,456773.7
651291.8,459764.4



































































































































